Idaho:2005:Argiacris amissuli
Massachusetts:2015:Hemileuca maia
Massachusetts:2015:Heterocampa varia
Massachusetts:2015:Heterodon platirhinos
Massachusetts:2015:Histrionicus histrionicus
Massachusetts:2015:Houstonia longifolia
Massachusetts:2015:Huperzia appressa
Massachusetts:2015:Huperzia selago
Massachusetts:2015:Hybognathus regius
Massachusetts:2015:Hydrastis canadensis
Massachusetts:2015:Hydrocotyle verticillata
Massachusetts:2015:Hydrophyllum canadense
Massachusetts:2015:Hylocichla mustelina
Massachusetts:2015:Hypericum adpressum
Massachusetts:2015:Hypericum ascyron
Massachusetts:2015:Hypericum stragulum
Massachusetts:2015:Hypomecis buchholzaria
Massachusetts:2015:Ilex montana
Massachusetts:2015:Isoetes acadiensis
Massachusetts:2015:Isoetes lacustris
Massachusetts:2015:Isotria medeoloides
Massachusetts:2015:Ixobrychus exilis
Massachusetts:2015:Juncus debilis
Massachusetts:2015:Juncus filiformis
Massachusetts:2015:Lachnanthes caroliniana
Massachusetts:2015:Lampsilis cariosa
Massachusetts:2015:Lampsilis radiata
Massachusetts:2015:Larus argentatus
Massachusetts:2015:Larus atricilla
Massachusetts:2015:Larus marinus
Massachusetts:2015:Lasionycteris noctivagans
Massachusetts:2015:Lasiurus borealis
Massachusetts:2015:Lasiurus cinereus
Massachusetts:2015:Lathyrus palustris
Massachusetts:2015:Lechea pulchella var. moniliformis
Massachusetts:2015:Lepidochelys kempii
Massachusetts:2015:Leptochloa fusca ssp. fascicularis
Massachusetts:2015:Leptodea ochracea
Massachusetts:2015:Lethenteron appendix 
Massachusetts:2015:Leymus mollis ssp. mollis
Massachusetts:2015:Liatris novae-angliae
Massachusetts:2015:Ligumia nasuta
Massachusetts:2015:Limnadia lenticularis
Massachusetts:2015:Limnodromus griseus
Massachusetts:2015:Linnaea borealis ssp. americana
Massachusetts:2015:Linum intercursum
Massachusetts:2015:Linum medium var. texanum
Massachusetts:2015:Liparis liliifolia
Massachusetts:2015:Liparis loeselii
Massachusetts:2015:Lipocarpha micrantha
Massachusetts:2015:Lithobates pipiens
Massachusetts:2015:Lithophane viridipallens
Massachusetts:2015:Littoridinops tenuipes
Massachusetts:2015:Lobelia siphilitica
Massachusetts:2015:Lonicera hirsuta
Massachusetts:2015:Lota lota
Massachusetts:2015:Ludwigia polycarpa
