Connecticut:2015:Cypripedium arietinum
Connecticut:2015:Cypripedium reginae
Connecticut:2015:Cystopteris laurentiana
Connecticut:2015:Danaus plexippus
Connecticut:2015:Dargida rubripennis
Connecticut:2015:Dichagyris acclivis
Connecticut:2015:Digrammia equivocata
Connecticut:2015:Dipalta banksi
Connecticut:2015:Drasteria graphica atlantica
Connecticut:2015:Eacles imperialis imperialis
Connecticut:2015:Egretta caerulea
Connecticut:2015:Egretta thula
Connecticut:2015:Eleocharis aestuum
Connecticut:2015:Elimia virginica
Connecticut:2015:Empidonax alnorum
Connecticut:2015:Empidonax minimus
Connecticut:2015:Empidonax traillii
Connecticut:2015:Enallagma daeckii
Connecticut:2015:Enallagma doubledayi
Connecticut:2015:Enallagma minusculum
Connecticut:2015:Enallagma pictum
Connecticut:2015:Eptesicus fuscus
Connecticut:2015:Erynnis horatius
Connecticut:2015:Erynnis lucilius
Connecticut:2015:Erynnis martialis
Connecticut:2015:Erynnis persius persius
Connecticut:2015:Esox niger
Connecticut:2015:Eubaphe meridiana
Connecticut:2015:Eubranchipus holmanii
Connecticut:2015:Euchlaena madusaria
Connecticut:2015:Eucoptocnemis fimbriaris
Connecticut:2015:Euphyes bimacula
Connecticut:2015:Euxoa pleuritica
Connecticut:2015:Euxoa violaris
Connecticut:2015:Exoglossum maxillingua
Connecticut:2015:Falco peregrinus
Connecticut:2015:Falco sparverius
Connecticut:2015:Galba rustica
Connecticut:2015:Galearis spectabilis
Connecticut:2015:Geopinus incrassatus
Connecticut:2015:Glaucomys sabrinus
Connecticut:2015:Glaucopsyche lygdamus
Connecticut:2015:Glena cognataria
Connecticut:2015:Glycobius speciosus
Connecticut:2015:Gomphaeschna antilope
Connecticut:2015:Gomphus descriptus
Connecticut:2015:Gomphus fraternus
Connecticut:2015:Gomphus quadricolor
Connecticut:2015:Gomphus vastus
Connecticut:2015:Gomphus ventricosus
Connecticut:2015:Goniops chrysocoma
Connecticut:2015:Grammia speciosa
Connecticut:2015:Haliaeetus leucocephalus
Connecticut:2015:Harpalus caliginosus
Connecticut:2015:Harpalus erraticus
Connecticut:2015:Hemaris gracilis
Connecticut:2015:Hemileuca lucina
Connecticut:2015:Hemitripterus americanus
Connecticut:2015:Hippocampus erectus
Connecticut:2015:Hudsonia tomentosa
Connecticut:2015:Humulus lupulus var. americanus
Connecticut:2015:Hybomitra typhus
Connecticut:2015:Hydrastis canadensis
Connecticut:2015:Hyla versicolor
Connecticut:2015:Icteria virens
Connecticut:2015:Ixobrychus exilis
Connecticut:2015:Kalmia polifolia
Connecticut:2015:Lapara coniferarum
Connecticut:2015:Lasiurus borealis
Connecticut:2015:Lepomis gibbosus
Connecticut:2015:Lethe eurydice
Connecticut:2015:Lethenteron appendix
Connecticut:2015:Leucoraja ocellata
Connecticut:2015:Liatris novae-angliae
Connecticut:2015:Limulus polyphemus
Connecticut:2015:Liparis atlanticus
Connecticut:2015:Lithobates sylvaticus
Connecticut:2015:Lomamyia flavicornis
Connecticut:2015:Lupinus perennis perennis
Connecticut:2015:Macrozoarces americanus
Connecticut:2015:Malaclemys terrapin terrapin
Connecticut:2015:Malaxis bayardii
Connecticut:2015:Margaritifera margaritifera
Connecticut:2015:Melanerpes erythrocephalus
Connecticut:2015:Melanitta perspicillata
Connecticut:2015:Meropleon ambifusca
Connecticut:2015:Merycomyia whitneyi
Connecticut:2015:Micropterus dolomieu
Connecticut:2015:Micropterus salmoides
Connecticut:2015:Mustela frenata
Connecticut:2015:Mustelis canis
Connecticut:2015:Myotis sodalis
Connecticut:2015:Napaeozapus insignis
Connecticut:2015:Nicrophorus americanus
Connecticut:2015:Nyctanassa violacea
Connecticut:2015:Ondatra zibethicus
Connecticut:2015:Osmerus mordax
Connecticut:2015:Pagurus pollicaris
Connecticut:2015:Papaipema duovata
Connecticut:2015:Papaipema marginidens
Connecticut:2015:Papaipema maritima
Connecticut:2015:Paraleptophlebia assimilis
Connecticut:2015:Paralichthys oblongus
Connecticut:2015:Parkesia motacilla
Connecticut:2015:Passerculus sandwichensis princeps
Connecticut:2015:Peprilus triacanthus
Connecticut:2015:Perca flavescens
Connecticut:2015:Phaneta clavana
Connecticut:2015:Phoca vitulina
Connecticut:2015:Phyllonorycter ledella
Connecticut:2015:Pinus rigida
Connecticut:2015:Pipilo erythrophthalmus
Connecticut:2015:Piranga olivacea
Connecticut:2015:Podilymbus podiceps
Connecticut:2015:Polygonum glaucum
Connecticut:2015:Pooecetes gramineus
Connecticut:2015:Porzana carolina
Connecticut:2015:Potamogeton gemmiparus
Connecticut:2015:Potamogeton hillii
Connecticut:2015:Prionotus carolinus
Connecticut:2015:Pyreferra ceromatica
Connecticut:2015:Quercus ilicifolia
Connecticut:2015:Quercus prinoides
Connecticut:2015:Raja eglanteria
Connecticut:2015:Rallus longirostris
Connecticut:2015:Rhinichthys cataractae
Connecticut:2015:Rhododendron groelandicum
Connecticut:2015:Salmo salar
Connecticut:2015:Scaphiopus holbrookii
Connecticut:2015:Scolopax minor
Connecticut:2015:Scophthalmus aquosus
Connecticut:2015:Seiurus aurocapilla
Connecticut:2015:Setophaga americana
Connecticut:2015:Setophaga discolor
Connecticut:2015:Sisyra fuscata
Connecticut:2015:Solidago sempervirens
Connecticut:2015:Spartina pectinata
Connecticut:2015:Squalus acanthias
Connecticut:2015:Sterna dougallii
Connecticut:2015:Sterna hirundo
Connecticut:2015:Stichopogon argenteus
Connecticut:2015:Stonemyia isabellina
Connecticut:2015:Sturnella magna
Connecticut:2015:Sylvilagus transitionalis
Connecticut:2015:Synurella chamberlaini
Connecticut:2015:Tibicen auletes
Connecticut:2015:Tringa semipalmatus
Connecticut:2015:Triphora trianthophora
Connecticut:2015:Tyrannus tyrannus
Connecticut:2015:Vaccinium angustifolium
Connecticut:2015:Williamsonia lintneri
Connecticut:2015:Zale obliqua
Connecticut:2015:Zanclognatha martha
Connecticut:2015:Zanclognatha theralis
Connecticut:2015:Zapus hudsonius
Delaware:2005:Acantharchus pomotis
Delaware:2005:Acipenser brevirostrum
Delaware:2005:Acipenser oxyrinchus
Delaware:2005:Acontia delecta
Delaware:2005:Acronicta connecta
Delaware:2005:Acronicta exilis
Delaware:2005:Acronicta increta
Delaware:2005:Acronicta lithospila
Delaware:2005:Acronicta rubricoma
Delaware:2005:Actitis macularia
Delaware:2005:Aeshna tuberculifera
Delaware:2005:Aeshna verticalis
Delaware:2005:Agabetes acuductus
Delaware:2005:Agkistrodon contortrix
Delaware:2005:Agnorisma bollii
Delaware:2005:Agrius cingulata
Delaware:2005:Alasmidonta heterodon
Delaware:2005:Alasmidonta undulata
Delaware:2005:Alasmidonta varicosa
Delaware:2005:Alosa mediocris
Delaware:2005:Amblyscirtes aesculapius
Delaware:2005:Amblyscirtes carolina
Delaware:2005:Ambystoma maculatum
Delaware:2005:Ambystoma tigrinum tigrinum
Delaware:2005:Ammodramus caudacutus
Delaware:2005:Ammodramus henslowii
Delaware:2005:Ammodramus maritimus
Delaware:2005:Ammodramus savannarum
Delaware:2005:Amorpha juglandis
Delaware:2005:Anacamptodes pergracilis
Delaware:2005:Anas clypeata
Delaware:2005:Anas platyrhynchos
Delaware:2005:Anas rubripes
Delaware:2005:Anatrytone logan
Delaware:2005:Anax longipes
Delaware:2005:Anguispira alternata
Delaware:2005:Anguispira fergusoni
Delaware:2005:Anodonta implicata
Delaware:2005:Apeltes quadracus
Delaware:2005:Archilestes grandis
Delaware:2005:Ardea herodias
Delaware:2005:Arenaria interpres
Delaware:2005:Argia bipunctulata
Delaware:2005:Argia moesta
Delaware:2005:Argia translata
Delaware:2005:Argyrostrotis quadrifilaris
Delaware:2005:Asio flammeus
Delaware:2005:Asio otus
Delaware:2005:Asterocampa celtis
Delaware:2005:Atlides halesus
Delaware:2005:Aythya affinis
Delaware:2005:Aythya americana
Delaware:2005:Aythya marila
Delaware:2005:Aythya valisineria
Delaware:2005:Balaena glacialis
Delaware:2005:Balaenoptera borealis
Delaware:2005:Balaenoptera physalus
Delaware:2005:Bartramia longicauda
Delaware:2005:Battus philenor
Delaware:2005:Bellura gortynoides
Delaware:2005:Boloria bellona
Delaware:2005:Boloria selene myrina
Delaware:2005:Boloria selene
Delaware:2005:Bonasa umbellus
Delaware:2005:Botaurus lentiginosus
Delaware:2005:Brachymesia gravida
Delaware:2005:Branta canadensis
Delaware:2005:Bubulcus ibis
Delaware:2005:Bucephala albeola
Delaware:2005:Buteo lineatus
Delaware:2005:Buteo platypterus
Delaware:2005:Calidris alba
Delaware:2005:Calidris alpina
Delaware:2005:Calidris canutus
Delaware:2005:Calidris fuscicollis
Delaware:2005:Calidris maritima
Delaware:2005:Calidris pusilla
Delaware:2005:Callinectes sapidus
Delaware:2005:Callophrys augustinus
Delaware:2005:Callophrys gryneus
Delaware:2005:Callophrys henrici
Delaware:2005:Callophrys hesseli
Delaware:2005:Callophrys irus
Delaware:2005:Calyptra canadensis
Delaware:2005:Canis latrans
Delaware:2005:Caprimulgus vociferus
Delaware:2005:Carcharodon carcharias
Delaware:2005:Caretta caretta
Delaware:2005:Caripeta aretaria
Delaware:2005:Carychium exiguum
Delaware:2005:Casmerodius albus
Delaware:2005:Catharus bicknelli
Delaware:2005:Catharus fuscescens
Delaware:2005:Catocala alabamae
Delaware:2005:Catocala carissima
Delaware:2005:Catocala cerogama
Delaware:2005:Catocala flebilis
Delaware:2005:Catocala lacrymosa
Delaware:2005:Catocala marmorata
Delaware:2005:Catocala minuta
Delaware:2005:Catocala nebulosa
Delaware:2005:Catocala palaeogama
Delaware:2005:Catocala parta
Delaware:2005:Catocala praeclara
Delaware:2005:Catocala residua
Delaware:2005:Catoptrophorus semipalmatus
Delaware:2005:Celithemis ornata
Delaware:2005:Celithemis verna
Delaware:2005:Cemophora coccinea
Delaware:2005:Ceratomia undulosa
Delaware:2005:Certhia americana
Delaware:2005:Cerura scitiscripta
Delaware:2005:Cetorhinus maximus
Delaware:2005:Chaetura pelagica
Delaware:2005:Charadrius melodus
Delaware:2005:Charadrius wilsonia
Delaware:2005:Chelonia mydas
Delaware:2005:Chlidonias niger
Delaware:2005:Chloropteryx tepperaria
Delaware:2005:Chordeiles minor
Delaware:2005:Cicindela dorsalis
