Arizona:2015:Sigmodon arizonae plenus
Arizona:2015:Sigmodon fulviventer
Arizona:2015:Sistrurus catenatus
Arizona:2015:Sonorella bequaerti
Arizona:2015:Sonorella coltoniana
Arizona:2015:Sonorella dalli
Arizona:2015:Sonorella danielsi
Arizona:2015:Sonorella dragoonensis
Arizona:2015:Sonorella franciscana
Arizona:2015:Sonorella grahamensis
Arizona:2015:Sonorella huachucana
Arizona:2015:Sonorella micromphala
Arizona:2015:Sonorella optata
Arizona:2015:Sonorella pedregosensis
Arizona:2015:Sonorella sabinoensis
Arizona:2015:Sonorella superstitionis
Arizona:2015:Sonorella tortillita
Arizona:2015:Sonorella tryoniana
Arizona:2015:Sonorella virilis
Arizona:2015:Spea intermontana
Arizona:2015:Spermophilus lateralis
Arizona:2015:Spermophilus tridecemlineatus
Arizona:2015:Spizella breweri
Arizona:2015:Streptocephalus mackini
Arizona:2015:Stygobromus arizonensis
Arizona:2015:Succinea grosvenori
Arizona:2015:Tamias quadrivittatus
Arizona:2015:Tamias umbrinus
Arizona:2015:Tamiasciurus hudsonicus grahamens
Arizona:2015:Terrapene ornata
Arizona:2015:Thamnophis cyrtopsis
Arizona:2015:Thamnophis eques megalops
Arizona:2015:Thamnophis rufipunctatus
Arizona:2015:Thomomys umbrinus intermedius
Arizona:2015:Tiaroga cobitis
Arizona:2015:Toxostoma lecontei
Arizona:2015:Triops longicaudatus
Arizona:2015:Triops newberryi
Arizona:2015:Trogon elegans
Arizona:2015:Tryonia quitobaquitae
Arizona:2015:Vireo vicinior
Arizona:2015:Vitrina pellucida alaskana
Arizona:2015:Vulpes vulpes
Arizona:2015:Xantusia bezyi
Arizona:2015:Zapus hudsonius luteus
California:2005:Accipiter striatus
California:2005:Adella oplerella
California:2005:Agelaius tricolor
California:2005:Ambystoma californiense
California:2005:Ambystoma macrodactylum croceum
California:2005:Ammopelmatus muwu
California:2005:Andrena subapasta
California:2005:Archeolarca aalbui
California:2005:Artemia monica
California:2005:Aspidoscelis tigris stejnegeri
California:2005:Atractelmis wawona
California:2005:Baeolophus inornatus
California:2005:Banksula tuolumne
California:2005:Belostoma saratogae
California:2005:Bombus occidentalis
California:2005:Bufo californicus
California:2005:Calasellus longus
California:2005:Calicina mesaensis
California:2005:Calicina piedra
California:2005:Calileptoneta wapiti
California:2005:Catostomus microps
California:2005:Ceratochrysis gracilis
California:2005:Chaetodipus californicus femoralis
