Alaska:2005:Clethrionomys gapperi solus
Alaska:2005:Clethrionomys rutilus
Alaska:2005:Clinocottus acuticeps
Alaska:2005:Columba fasciata
Alaska:2005:Contopus cooperi
Alaska:2005:Contopus sordidulus
Alaska:2005:Coregonus laurettae
Alaska:2005:Coregonus pidschian
Alaska:2005:Corvus caurinus
Alaska:2005:Cottid Family
Alaska:2005:Cottus asper
Alaska:2005:Cottus cognatus
Alaska:2005:Dermochelys coriacea
Alaska:2005:Dicrostonyx groenlandicus exsul
Alaska:2005:Dicrostonyx groenlandicus peninsulae
Alaska:2005:Dicrostonyx groenlandicus unalascensis
Alaska:2005:Empidonax difficilis
Alaska:2005:Enhydra lutris kenyoni
Alaska:2005:Enhydra lutris
Alaska:2005:Entosphenus tridentatus
Alaska:2005:Ephemeroptera
Alaska:2005:Eptesicus fuscus
Alaska:2005:Eumetopias jubatus
Alaska:2005:Eumetopias jubatus
Alaska:2005:Falco peregrinus
Alaska:2005:Falco rusticolus
Alaska:2005:Fringilla montifringilla
Alaska:2005:Gallinago gallinago
Alaska:2005:Gastropoda
Alaska:2005:Gavia immer
Alaska:2005:Glaucomys sabrinus alpinus
Alaska:2005:Glaucomys sabrinus griseifrons
Alaska:2005:Gulo gulo katschemakensis
Alaska:2005:Haematopus bachmani
Alaska:2005:Haliaeetus leucocephalus alascanus
Alaska:2005:Heteroscelus incanus
Alaska:2005:Hirundo rustica
Alaska:2005:Hypomesus olidus
Alaska:2005:Isocapnia agassizi
Alaska:2005:Isoperla decolorata
Alaska:2005:Isoperla katmaiensis
Alaska:2005:Isoperla sordida
Alaska:2005:Lagopus mutus atkhensis
Alaska:2005:Lagopus mutus evermanni
Alaska:2005:Lampetra alaskense
Alaska:2005:Lampetra japonica
Alaska:2005:Lampetra richardsoni
Alaska:2005:Lanius excubitor
Alaska:2005:Larus delawarensis
Alaska:2005:Larus schistisagus
Alaska:2005:Lasionycteris noctivagans
Alaska:2005:Lemmus trimucronatus nigripes
Alaska:2005:Lemmus trimucronatus
Alaska:2005:Lepidochelys olivacea
Alaska:2005:Lepus othus othus
Alaska:2005:Lepus othus
Alaska:2005:Leucosticte tephrocotis
Alaska:2005:Limnodromus griseus
Alaska:2005:Lontra canadensis mira
Alaska:2005:Luscinia calliope
Alaska:2005:Luscinia svecica
Alaska:2005:Lymnaea atkaensis
Alaska:2005:Margaritifera falcata
Alaska:2005:Marmota caligata sheldoni
Alaska:2005:Martes americana kenaiensis
Alaska:2005:Martes caurina caurina
Alaska:2005:Megascops kennicottii
Alaska:2005:Melanitta perspicillata
Alaska:2005:Melospiza melodia amaka
Alaska:2005:Microtus abbreviatus abbreviatus
Alaska:2005:Microtus miurus
Alaska:2005:Microtus oeconomus elymocetes
Alaska:2005:Microtus oeconomus popofensis
Alaska:2005:Microtus oeconomus punukensis
Alaska:2005:Microtus oeconomus unalascensis
Alaska:2005:Microtus oeconomus
Alaska:2005:Microtus pennsylvanicus admiraltiae
Alaska:2005:Microtus pennsylvanicus
Alaska:2005:Molothrus ater
Alaska:2005:Mustela erminea celenda
Alaska:2005:Mustela erminea seclusa
Alaska:2005:Myctophidae
Alaska:2005:Myotis keenii
Alaska:2005:Myotis lucifugus
Alaska:2005:Myotis volans (longicrus)
Alaska:2005:Nematoda
Alaska:2005:Nemoura normani
Alaska:2005:Numenius borealis
Alaska:2005:Numenius phaeopus
Alaska:2005:Oceanodroma furcata furcata
Alaska:2005:Oceanodroma furcata plumbea
Alaska:2005:Oceanodroma leucorhoa leucorhoa
Alaska:2005:Oeneis uhleri cairnesi
Alaska:2005:Orcinus orca
Alaska:2005:Pandion haliaetus carolinensis
Alaska:2005:Pandion haliaetus
Alaska:2005:Pelecypoda
Alaska:2005:Peromyscus keeni hylaeus
Alaska:2005:Peromyscus keeni macrorhinus
Alaska:2005:Peromyscus keeni oceanicus
Alaska:2005:Petrochelidon pyrrhonota
Alaska:2005:Phalacrocorax pelagicus
Alaska:2005:Phalacrocorax penicillatus
Alaska:2005:Phalaropus fulicarius
Alaska:2005:Phalaropus lobatus
Alaska:2005:Phoca hispida
Alaska:2005:Phoca largha
Alaska:2005:Phoca vitulina richardsi
Alaska:2005:Phoebastria albatrus
Alaska:2005:Phoebastria nigripes
Alaska:2005:Pholid Family
Alaska:2005:Phyciodes pratensis totchone
Alaska:2005:Picoides dorsalis
Alaska:2005:Picoides villosus
Alaska:2005:Piranga ludoviciana
Alaska:2005:Plecoptera
Alaska:2005:Pluvialis fulva
Alaska:2005:Pluvialis squatarola
Alaska:2005:Podiceps grisegena
Alaska:2005:Podilymbus podiceps
Alaska:2005:Podmosta weberi
Alaska:2005:Poecile hudsonica
Alaska:2005:Polysticta stelleri
Alaska:2005:Porzana carolina
Alaska:2005:Prosopium coulteri
Alaska:2005:Pungitius pungitius
Alaska:2005:Raja (Dipturus) binoculata
Alaska:2005:Rana luteiventris
Alaska:2005:Rangifer tarandus caribou
Alaska:2005:Rhamphocottid Family
Alaska:2005:Rhodostethia rosea
Alaska:2005:Rissa brevirostris
Alaska:2005:Selasphorus rufus
Alaska:2005:Setophaga ruticilla
Alaska:2005:Somateria fischeri
Alaska:2005:Somateria mollissima vnigra
Alaska:2005:Sorex monticolus ellassodon
Alaska:2005:Sorex monticolus
Alaska:2005:Sorex pribilofensis (hydrodromus)
Alaska:2005:Spermophilus parryii kennicottii
Alaska:2005:Spermophilus parryii nebulicola
Alaska:2005:Spermophilus parryii osgoodi
Alaska:2005:Spermophilus parryii
Alaska:2005:Spirinchus thaleichthys
Alaska:2005:Sterna paradisaea
Alaska:2005:Stygobromus quatsinensis
Alaska:2005:Synaptomys borealis
Alaska:2005:Tamiasciurus hudsonicus kenaiensis
