Louisiana:2005:Eumeces septentrionalis obtusirostris
Louisiana:2005:Euphagus carolinus
Louisiana:2005:Euphyes dion
Louisiana:2005:Euphyes pilatka
Louisiana:2005:Fallicambarus dissitus
Louisiana:2005:Fallicambarus macneesei
Louisiana:2005:Fallicambarus oryktes
Louisiana:2005:Farancia erytrogramma erytrogramma
Louisiana:2005:Faxonella beyeri
Louisiana:2005:Faxonella creaseri
Louisiana:2005:Feniseca tarquinius
Louisiana:2005:Fundulus euryzonus
Louisiana:2005:Fundulus jenkinsi
Louisiana:2005:Fundulus pulvereus
Louisiana:2005:Fusconaia ebena
Louisiana:2005:Gobioides broussoneti
Louisiana:2005:Gopherus polyphemus
Louisiana:2005:Graptemys gibbonsi
Louisiana:2005:Graptemys oculifera
Louisiana:2005:Graptemys ouachitensis ouachitensis
Louisiana:2005:Graptemys ouachitensis sabinensis
Louisiana:2005:Grus americana
Louisiana:2005:Grus canadensis
Louisiana:2005:Gunterichthys longipenis
Louisiana:2005:Haematopus palliatus
Louisiana:2005:Haliaeetus leucocephalus
Louisiana:2005:Helmitheros vermivorus
Louisiana:2005:Hemiargus isola
Louisiana:2005:Hemidactylium scutatum
Louisiana:2005:Hesperia metea
Louisiana:2005:Hyla gratiosa
Louisiana:2005:Hylocichla mustelina
Louisiana:2005:Icterus spurius
Louisiana:2005:Isurus paucus
Louisiana:2005:Lampropeltis calligaster rhombomaculata
Louisiana:2005:Lampropeltis triangulum elapsoides
Louisiana:2005:Lampsilis abrupta
Louisiana:2005:Lampsilis cardium
Louisiana:2005:Lampsilis ornata
Louisiana:2005:Lampsilis satura
Louisiana:2005:Lampsilis siliquoidea
Louisiana:2005:Lanius ludovicianus
Louisiana:2005:Lasionycteris noctivagans
Louisiana:2005:Lasmigona complanata
Louisiana:2005:Laterallus jamaicensis
Louisiana:2005:Lepidochelys kempii
Louisiana:2005:Lethe creola
Louisiana:2005:Ligumia recta
Louisiana:2005:Limnodromus griseus
Louisiana:2005:Limnothlypis swainsonii
Louisiana:2005:Limosa fedoa
Louisiana:2005:Macrochelys temminckii
Louisiana:2005:Malaclemys terrapin pileata
Louisiana:2005:Margaritifera hembeli
Louisiana:2005:Megathymus yuccae
Louisiana:2005:Microphis brachyurus
Louisiana:2005:Micrurus fulvius
Louisiana:2005:Moxostoma carinatum
Louisiana:2005:Mustela frenata
Louisiana:2005:Mycteria americana
Louisiana:2005:Myotis austroriparius
Louisiana:2005:Myotis septentrionalis
Louisiana:2005:Nastra neamathla
Louisiana:2005:Notropis boops
Louisiana:2005:Notropis potteri
Louisiana:2005:Noturus munitus
Louisiana:2005:Nyctanassa violacea
Louisiana:2005:Obovaria jacksoniana
Louisiana:2005:Obovaria olivaria
Louisiana:2005:Obovaria unicolor
Louisiana:2005:Ophisaurus attenuatus attenuatus
Louisiana:2005:Ophisaurus attenuatus longicaudus
Louisiana:2005:Ophisaurus ventralis
Louisiana:2005:Oporornis formosus
Louisiana:2005:Orconectes blacki
Louisiana:2005:Orconectes hathawayi
Louisiana:2005:Orconectes maletae
Louisiana:2005:Panoquina panoquinoides
Louisiana:2005:Paralichthys squamilentus
Louisiana:2005:Parula americana
Louisiana:2005:Passerina ciris
Louisiana:2005:Pelecanus occidentalis
Louisiana:2005:Percina aurora
Louisiana:2005:Percina copelandi
Louisiana:2005:Percina lenticula
Louisiana:2005:Percina macrolepida
Louisiana:2005:Percina suttkusi
Louisiana:2005:Phenacobius mirabilis
Louisiana:2005:Physeter macrocephalus
Louisiana:2005:Picoides borealis
Louisiana:2005:Pituophis melanoleucus lodingi
Louisiana:2005:Pituophis ruthveni
Louisiana:2005:Plethodon kisatchie
Louisiana:2005:Plethodon serratus
Louisiana:2005:Plethodon websteri
Louisiana:2005:Pleurobema beadleianum
Louisiana:2005:Pleurobema riddellii
Louisiana:2005:Pleurobema rubrum
Louisiana:2005:Polyodon spathula
Louisiana:2005:Potamilus amphichaenus
Louisiana:2005:Potamilus capax
Louisiana:2005:Potamilus inflatus
Louisiana:2005:Procambarus bivittatus
Louisiana:2005:Procambarus elegans
Louisiana:2005:Procambarus geminus
Louisiana:2005:Procambarus jaculus
Louisiana:2005:Procambarus shermani
Louisiana:2005:Procambarus viaeviridis
Louisiana:2005:Protonotaria citrea
Louisiana:2005:Pseudacris ornata
Louisiana:2005:Pseudacris streckeri
Louisiana:2005:Pseudotriton montanus flavissimus
Louisiana:2005:Pseudotriton ruber vioscai
Louisiana:2005:Pteronotropis hubbsi
Louisiana:2005:Pteronotropis signipinnis
Louisiana:2005:Pteronotropis welaka
Louisiana:2005:Ptychobranchus occidentalis
Louisiana:2005:Puma concolor coryi
Louisiana:2005:Quadrula cylindrica
Louisiana:2005:Quadrula metanevra
Louisiana:2005:Rallus elegans
Louisiana:2005:Rallus longirostris
Louisiana:2005:Rana areolata areolata
Louisiana:2005:Rana sevosa
Louisiana:2005:Reithrodontomys humulis
Louisiana:2005:Rhadinaea flavilata
Louisiana:2005:Rynchops niger
Louisiana:2005:Satyrodes appalachia
Louisiana:2005:Scaphiopus holbrooki
Louisiana:2005:Scaphirhynchus albus
Louisiana:2005:Scolopax minor
Louisiana:2005:Seiurus motacilla
Louisiana:2005:Sitta pusilla
Louisiana:2005:Sorex longirostris
Louisiana:2005:Spilogale putorius
Louisiana:2005:Spiza americana
Louisiana:2005:Spizella pusilla
Louisiana:2005:Sterna antillarum athalassos
Louisiana:2005:Sterna caspia
Louisiana:2005:Sterna forsteri
Louisiana:2005:Sterna hirundo
Louisiana:2005:Sterna maxima
Louisiana:2005:Sterna nilotica
Louisiana:2005:Sterna sandvicensis
Louisiana:2005:Sternotherus minor peltifer
Louisiana:2005:Strophitus subvexus
Louisiana:2005:Strophitus undulatus
Louisiana:2005:Syngnathus affinis
Louisiana:2005:Syngnathus louisianae
Louisiana:2005:Syngnathus scovelli
Louisiana:2005:Tantilla coronata
Louisiana:2005:Terrapene ornata ornata
Louisiana:2005:Trichechus manatus
Louisiana:2005:Tyrannus forficatus
Louisiana:2005:Ursus americanus luteolus
Louisiana:2005:Villosa vibex
Louisiana:2005:Vireo bellii
Louisiana:2005:Vireo flavifrons
Louisiana:2005:Wilsonia citrina
Maine:2015:Acipenser oxyrinchus
Maine:2015:Aeshna juncea
Maine:2015:Alasmidonta varicosa
Maine:2015:Alca torda
Maine:2015:Alopias vulpinus
Maine:2015:Alosa pseudoharengus
Maine:2015:Alosa sapidissima
Maine:2015:Amblyraja radiata
Maine:2015:Ambystoma laterale
Maine:2015:Ameletus browni
Maine:2015:Ammodytes americanus
Maine:2015:Anarhichas lupus
Maine:2015:Anguilla rostrata
Maine:2015:Anthus rubescens
Maine:2015:Antrostomus vociferus
Maine:2015:Appalachina sayana
Maine:2015:Ardea herodias
Maine:2015:Arenaria interpres
Maine:2015:Arigomphus furcifer
Maine:2015:Arrhoges occidentalis
Maine:2015:Asio flammeus
Maine:2015:Asterias forbesi
Maine:2015:Baetisca lacustris
Maine:2015:Baetisca rubescens
Maine:2015:Balaenoptera borealis
Maine:2015:Boloria chariclea grandis
Maine:2015:Boloria frigga saga
Maine:2015:Bombus affinis
Maine:2015:Bombus citrinus
Maine:2015:Bombus griseocollis
Maine:2015:Bombus sandersoni
Maine:2015:Bombus terricola
Maine:2015:Boreotrophon clathratus
Maine:2015:Boreotrophon truncatus
Maine:2015:Botaurus lentiginosus
Maine:2015:Brosme brosme
Maine:2015:Bucephala islandica
Maine:2015:Buteo platypterus
Maine:2015:Calidris alba
Maine:2015:Calidris alpina
Maine:2015:Calidris canutus rufa
Maine:2015:Calidris minutilla
Maine:2015:Calidris pusilla
Maine:2015:Cardellina canadensis
Maine:2015:Caretta caretta
Maine:2015:Catharus ustulatus
Maine:2015:Catocala similis
Maine:2015:Chaetaglaea tremula
Maine:2015:Chaetura pelagica
Maine:2015:Chlidonias niger
Maine:2015:Chordeiles minor
Maine:2015:Chroicocephalus philadelphia
Maine:2015:Cicindela ancocisconensis
Maine:2015:Circus cyaneus
Maine:2015:Citheronia sepulcralis
Maine:2015:Clangula hyemalis
Maine:2015:Coccothraustes vespertinus
Maine:2015:Coccyzus americanus
Maine:2015:Contopus cooperi
Maine:2015:Contopus virens
Maine:2015:Cordulegaster obliqua
Maine:2015:Coregonus clupeaformis
Maine:2015:Coturnicops noveboracensis
Maine:2015:Cucullia speyeri
Maine:2015:Culaea inconstans
Maine:2015:Cupido amyntula maritima
Maine:2015:Dermochelys coriacea
Maine:2015:Dolichonyx oryzivorus
Maine:2015:Egretta caerulea
Maine:2015:Egretta thula
Maine:2015:Empidonax flaviventris
Maine:2015:Empidonax minimus
Maine:2015:Enallagma durum
Maine:2015:Enallagma laterale
Maine:2015:Enallagma pictum
Maine:2015:Epeorus frisoni
Maine:2015:Erimyzon oblongus
Maine:2015:Etheostoma fusiforme
Maine:2015:Euphagus carolinus
Maine:2015:Falco peregrinus
Maine:2015:Falco sparverius
Maine:2015:Fulica americana
Maine:2015:Gallinula galeata
Maine:2015:Gavia immer
Maine:2015:Gavia stellata
Maine:2015:Geothlypis philadelphia
Maine:2015:Gersemia rubiformis
Maine:2015:Glyptemys insculpta
