Connecticut:2005:Phocoena phocoena
Connecticut:2005:Phyllonorycter ledella
Connecticut:2005:Pipilo erythrophthalmus
Connecticut:2005:Pipistrellus subflavus
Connecticut:2005:Piranga olivacea
Connecticut:2005:Plegadis falcinellus
Connecticut:2005:Plethodon glutinosus
Connecticut:2005:Podiceps auritus
Connecticut:2005:Podiceps grisegena
Connecticut:2005:Podilymbus podiceps
Connecticut:2005:Polioptila caerulea
Connecticut:2005:Polygonia progne
Connecticut:2005:Pomatiopsis lapidaria
Connecticut:2005:Pomoxis nigromaculatus
Connecticut:2005:Pooecetes gramineus
Connecticut:2005:Porzana carolina
Connecticut:2005:Prionotus carolinus
Connecticut:2005:Procambarus acutus
Connecticut:2005:Progne subis
Connecticut:2005:Pseudopleuronectes americanus
Connecticut:2005:Pyreferra ceromatica
Connecticut:2005:Raja eglanteria
Connecticut:2005:Rallus elegans
Connecticut:2005:Rallus limicola
Connecticut:2005:Rallus longirostris
Connecticut:2005:Rana pipiens
Connecticut:2005:Rana sylvatica
Connecticut:2005:Regulus satrapa
Connecticut:2005:Rhinichthys atratulus
Connecticut:2005:Rhinichthys cataractae
Connecticut:2005:Riparia riparia
Connecticut:2005:Rynchops niger
Connecticut:2005:Salmo trutta
Connecticut:2005:Salvelinus fontinalis
Connecticut:2005:Sargus fasciatus
Connecticut:2005:Satyrodes eurydice
Connecticut:2005:Scaphinotus viduus
Connecticut:2005:Scaphiopus holbrookii
Connecticut:2005:Schinia spinosae
Connecticut:2005:Scolopax minor
Connecticut:2005:Scomber scombrus
Connecticut:2005:Seiurus aurocapillus
Connecticut:2005:Seiurus motacilla
Connecticut:2005:Seiurus noveboracensis
Connecticut:2005:Setophaga ruticilla
Connecticut:2005:Sisyra fuscata
Connecticut:2005:Somatochlora elongata
Connecticut:2005:Spartiniphaga inops
Connecticut:2005:Speyeria atlantis
Connecticut:2005:Speyeria idalia
Connecticut:2005:Sphodros niger
Connecticut:2005:Squalus acanthias
Connecticut:2005:Squilla empusa
Connecticut:2005:Stagnicola catascopium
Connecticut:2005:Stelgidopteryx serripennis
Connecticut:2005:Sterna antillarum
Connecticut:2005:Sterna dougallii
Connecticut:2005:Sterna hirundo
Connecticut:2005:Strix varia
Connecticut:2005:Sturnella magna
Connecticut:2005:Stygobromus tenuis tenuis
Connecticut:2005:Stylurus amnicola
Connecticut:2005:Sylvilagus transitionalis
Connecticut:2005:Syngnathus fuscus
Connecticut:2005:Synurella chamberlaini
Connecticut:2005:Tabanus fulvicallus
Connecticut:2005:Tautoga onitis
Connecticut:2005:Tautogolabrus adspersus
Connecticut:2005:Terrapene carolina
Connecticut:2005:Tetragonoderus fasciatus
Connecticut:2005:Thaumatopsis edonis
Connecticut:2005:Toxostoma rufum
Connecticut:2005:Troglodytes troglodytes
Connecticut:2005:Tyrannus tyrannus
Connecticut:2005:Tyto alba
Connecticut:2005:Uca spp.
Connecticut:2005:Upogebia affinis
Connecticut:2005:Urophycis chuss
Connecticut:2005:Ursus americanus
Connecticut:2005:Valvata sincera
Connecticut:2005:Valvata tricarinata
Connecticut:2005:Vermivora chrysoptera
Connecticut:2005:Vireo flavifrons
Connecticut:2005:Vireo gilvus
Connecticut:2005:Vireo solitarius
Connecticut:2005:Williamsonia lintneri
Connecticut:2005:Wilsonia citrina
Connecticut:2005:Zale curema
Connecticut:2005:Zale obliqua
Connecticut:2005:Zale submediana
Connecticut:2005:Zanclognatha martha
Connecticut:2005:Zapus hudsonius
Connecticut:2015:Abagrotis nefascia benjamini
Connecticut:2015:Accipiter gentilis
Connecticut:2015:Accipiter striatus
Connecticut:2015:Achillea millefolium
Connecticut:2015:Acipenser brevirostrum
Connecticut:2015:Acronicta albarufa
Connecticut:2015:Acronicta falcula
Connecticut:2015:Acronicta fragilis
Connecticut:2015:Acronicta lanceolaria
Connecticut:2015:Aegolius acadicus
Connecticut:2015:Agalinis acuta
Connecticut:2015:Agkistrodon contortrix
Connecticut:2015:Agonum darlingtoni
Connecticut:2015:Agonum mutatum
Connecticut:2015:Agrotis stigmosa
Connecticut:2015:Alasmidonta varicosa
Connecticut:2015:Alosa aestivalis
Connecticut:2015:Alosa mediocris
Connecticut:2015:Alosa pseudoharengus
Connecticut:2015:Alosa sapidissima
Connecticut:2015:Amara chalcea
Connecticut:2015:Amaranthus pumilus
Connecticut:2015:Amblyscirtes vialis
Connecticut:2015:Ambystoma jeffersonianum
Connecticut:2015:Ambystoma laterale
Connecticut:2015:Ambystoma maculatum
Connecticut:2015:Ambystoma opacum
Connecticut:2015:Amelanchier arborea
Connecticut:2015:Amelanchier nantucketensis
Connecticut:2015:Amelanchier spicata
Connecticut:2015:Ammodramus caudacutus
Connecticut:2015:Ammodramus savannarum
Connecticut:2015:Ammodytes americanus
Connecticut:2015:Ammophila breviligulata
Connecticut:2015:Anas rubripes
Connecticut:2015:Anax longipes
Connecticut:2015:Anchoa mitchilli
Connecticut:2015:Andropogon gerardii
Connecticut:2015:Anguilla rostrata
Connecticut:2015:Anthopotamus verticis
Connecticut:2015:Antrostomos vociferus
Connecticut:2015:Apamea inordinata
Connecticut:2015:Apamea lintneri
Connecticut:2015:Apodrepanulatrix liberaria
Connecticut:2015:Aquilegia canadensis
Connecticut:2015:Arenaria interpres
Connecticut:2015:Arethusa bulbosa
Connecticut:2015:Argyrostrotis anilis
Connecticut:2015:Asclepias amplexicaulis
Connecticut:2015:Asclepias purpurascens
Connecticut:2015:Asclepias tuberosa
Connecticut:2015:Asclepias viridiflora
Connecticut:2015:Asio flammeus
Connecticut:2015:Asio otus
Connecticut:2015:Atylotus ohioensis
Connecticut:2015:Atylotus sphagnicolus
Connecticut:2015:Aureolaria flava
Connecticut:2015:Aureolaria pedicularia
Connecticut:2015:Aythya marila
Connecticut:2015:Badister transversus
Connecticut:2015:Baetisca lacustris
Connecticut:2015:Baetisca obesa
Connecticut:2015:Bembidion carinula
Connecticut:2015:Bembidion lacunarium
Connecticut:2015:Bembidion pseudocautum
Connecticut:2015:Bembidion quadratulum
Connecticut:2015:Bembidion semicinctum
Connecticut:2015:Bembidion simplex
Connecticut:2015:Bidens eatonii
Connecticut:2015:Bombus ashtoni
Connecticut:2015:Bombus pennsylvanicus
Connecticut:2015:Bombus terricola
Connecticut:2015:Botrychium rugulosum
Connecticut:2015:Brachinus cyanipennis
Connecticut:2015:Brachinus fumans
Connecticut:2015:Brachinus ovipennis
Connecticut:2015:Brachinus patruelis
Connecticut:2015:Brevoortia tyrannus
Connecticut:2015:Busycon carica
Connecticut:2015:Busycotypus canaliculatum
Connecticut:2015:Buteo platypterus
Connecticut:2015:Calidris alba
Connecticut:2015:Calidris pusilla
Connecticut:2015:Callinectes sapidus
Connecticut:2015:Callophrys henrici
Connecticut:2015:Callophrys hesseli
Connecticut:2015:Callophrys irus
Connecticut:2015:Callophrys polios
Connecticut:2015:Calopteryx dimidiata
Connecticut:2015:Cambarus bartonii
Connecticut:2015:Cancer irroratus
Connecticut:2015:Carabus serratus
Connecticut:2015:Carabus vinctus
Connecticut:2015:Carcharhinus plumbeus
Connecticut:2015:Carcharias taurus
Connecticut:2015:Carcinus maenas
Connecticut:2015:Cardamine longii
Connecticut:2015:Cardellina canadensis
Connecticut:2015:Caretta caretta
Connecticut:2015:Carex barrattii
Connecticut:2015:Carex schweinitzii
Connecticut:2015:Carya glabra
Connecticut:2015:Castilleja coccinea
Connecticut:2015:Catharus fuscescens
Connecticut:2015:Catocala badia badia
Connecticut:2015:Catocala herodias gerhardi
Connecticut:2015:Catocala pretiosa pretiosa
Connecticut:2015:Ceanothus americanus
Connecticut:2015:Celithemis fasciata
Connecticut:2015:Celithemis martha
Connecticut:2015:Centropristis striata
Connecticut:2015:Ceraturgus aurulentus
Connecticut:2015:Certhia americana
Connecticut:2015:Chaetaglaea cerata
Connecticut:2015:Charadrius melodus
Connecticut:2015:Chelonia mydas
Connecticut:2015:Chlosyne harrisii
Connecticut:2015:Chlosyne nycteis
Connecticut:2015:Chordeiles minor
Connecticut:2015:Chytonix sensilis
Connecticut:2015:Cicindela dorsalis dorsalis
Connecticut:2015:Cicindela formosa generosa
Connecticut:2015:Cicindela marginata
Connecticut:2015:Cicindela puritana
Connecticut:2015:Cicindela purpurea
Connecticut:2015:Cicindela tranquebarica
Connecticut:2015:Cinygmula subaequalis
Connecticut:2015:Circus cyaneus
Connecticut:2015:Cistothorus platensis
Connecticut:2015:Citheronia regalis
Connecticut:2015:Clemmys guttata
Connecticut:2015:Clupea harengus
Connecticut:2015:Coccinella novemnotata
Connecticut:2015:Coccyzus americanus
Connecticut:2015:Coccyzus erythropthalmus
Connecticut:2015:Colaptes auratus
Connecticut:2015:Contopus virens
Connecticut:2015:Coranarta luteola
Connecticut:2015:Cordulegaster erronea
Connecticut:2015:Corylus americana
Connecticut:2015:Corylus cornuta
Connecticut:2015:Cottus cognatus
Connecticut:2015:Crangon septemspinosa
Connecticut:2015:Crangonyx aberrans
Connecticut:2015:Crassostrea virginica
Connecticut:2015:Crotalus horridus
Connecticut:2015:Cryptotis parva
Connecticut:2015:Cucullia speyeri
Connecticut:2015:Cyprinodon variegatus
Connecticut:2015:Cypripedium reginae
Connecticut:2015:Danaus plexippus
Connecticut:2015:Dargida rubripennis
